epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.16877,2.70374,4.20785,1.24152,0.01029,1,0.02069,0.00965,1.68711,3.62268,0.88137,0.00015003,0.00015003,0.00015003
2,8.89236,2.60419,2.86988,1.08954,0.00862,1,0.01503,0.0068,1.34216,3.44669,0.86489,0.000313594,0.000313594,0.000313594
3,11.5331,2.65818,2.17768,1.0965,0.00832,1,0.01166,0.00477,1.67463,3.32057,0.9573,0.000473858,0.000473858,0.000473858
4,14.0515,2.56943,1.943,1.08699,0.00835,1,0.34903,0.20346,1.41697,2.8393,0.91628,0.000630821,0.000630821,0.000630821
5,16.3729,2.49586,1.89683,1.05611,0.00909,1,0.47447,0.26103,1.77414,2.95463,1.00407,0.000784484,0.000784484,0.000784484
6,18.8535,2.49164,1.74514,1.05274,0.00882,1,0.42835,0.24206,1.58069,2.51431,0.93487,0.000934845,0.000934845,0.000934845
7,21.2973,2.49821,1.72761,1.04035,0.78011,0.25,0.58,0.28554,1.46507,2.47595,0.96096,0.00108191,0.00108191,0.00108191
8,24.03,2.45226,1.69634,1.03566,0.87626,0.38129,0.547,0.27271,1.56115,1.94841,1.00886,0.00122567,0.00122567,0.00122567
9,26.6326,2.38634,1.6959,1.0396,0.95692,0.25,0.43643,0.2712,1.44065,2.12144,1.04,0.00136613,0.00136613,0.00136613
10,29.1331,2.39415,1.64349,1.07542,0.77045,0.375,0.57851,0.20499,1.54114,1.85218,1.04132,0.00150329,0.00150329,0.00150329
11,31.8663,2.52231,1.66334,1.02694,0.39683,0.48413,0.47119,0.22784,1.45767,1.83946,0.95976,0.00150197,0.00150197,0.00150197
12,34.5031,2.46522,1.6634,1.02052,0.86695,0.375,0.53021,0.29974,1.57745,1.57683,0.96039,0.00148546,0.00148546,0.00148546
13,37.3342,2.31168,1.49289,1.01346,0.97778,0.375,0.50087,0.22988,1.69256,1.50504,1.03089,0.00146896,0.00146896,0.00146896
14,40.0145,2.26019,1.61363,1.06123,0.99131,0.375,0.52756,0.20676,1.88659,1.78921,1.1856,0.00145246,0.00145246,0.00145246
15,42.5555,2.31286,1.47078,1.02316,0.84318,0.375,0.46962,0.14806,2.49595,1.66483,1.27277,0.00143595,0.00143595,0.00143595
16,45.143,2.36968,1.59084,1.03796,0.85038,0.375,0.50729,0.22053,1.96703,1.76723,1.27098,0.00141945,0.00141945,0.00141945
17,47.7956,2.2637,1.48056,1.03639,0.8639,0.375,0.40881,0.20102,2.0258,1.70198,1.18429,0.00140295,0.00140295,0.00140295
18,50.2752,2.17808,1.38157,1.00772,1,0.37337,0.43577,0.16818,1.97784,1.83826,1.05489,0.00138644,0.00138644,0.00138644
19,52.7401,2.27183,1.43867,1.02452,0.97448,0.25,0.39137,0.13334,1.96749,2.00134,1.0868,0.00136994,0.00136994,0.00136994
20,55.5259,2.38146,1.42974,1.02792,1,0.24555,0.30333,0.13988,2.46199,1.84498,1.47055,0.00135344,0.00135344,0.00135344
21,58.0488,2.26013,1.40664,1.02583,1,0.36289,0.41523,0.14966,2.30231,2.07326,1.27184,0.00133693,0.00133693,0.00133693
22,60.5352,2.22611,1.37349,0.99779,1,0.37485,0.39562,0.16219,2.61235,1.58999,1.42893,0.00132043,0.00132043,0.00132043
23,63.3125,2.23825,1.34216,1.00325,1,0.36239,0.46605,0.19969,2.2002,1.65059,1.19366,0.00130393,0.00130393,0.00130393
24,65.8434,2.1909,1.4118,1.02843,0.99901,0.375,0.47929,0.20911,1.97105,1.42203,1.09514,0.00128742,0.00128742,0.00128742
25,68.8109,2.15729,1.28227,1.0068,0.9639,0.375,0.43009,0.18809,1.92555,1.47083,1.05365,0.00127092,0.00127092,0.00127092
26,71.3612,2.17417,1.30812,0.98896,0.97747,0.375,0.50824,0.27214,1.77658,1.51019,1.01759,0.00125442,0.00125442,0.00125442
27,73.7514,2.05318,1.2971,1.00649,0.98407,0.375,0.63125,0.33742,1.88213,1.68725,1.17889,0.00123791,0.00123791,0.00123791
28,76.6506,2.13,1.31954,1.01981,0.97238,0.375,0.51611,0.16746,2.33027,1.49366,1.16769,0.00122141,0.00122141,0.00122141
29,79.6313,2.06646,1.30203,1.00835,0.9803,0.375,0.4822,0.22005,1.78533,1.32102,1.07822,0.00120491,0.00120491,0.00120491
30,82.272,2.20563,1.29212,0.99692,0.96117,0.375,0.39146,0.15669,2.25959,1.61106,1.14479,0.0011884,0.0011884,0.0011884
31,84.7697,2.15254,1.28133,0.9733,0.94223,0.375,0.37797,0.18257,1.93333,1.97688,1.16224,0.0011719,0.0011719,0.0011719
32,87.3306,2.0748,1.20612,0.97153,0.85785,0.375,0.35066,0.1411,1.89419,2.12631,1.06446,0.0011554,0.0011554,0.0011554
33,89.7296,2.13329,1.24059,0.9875,0.84306,0.375,0.35357,0.16284,1.98073,1.81772,1.11307,0.00113889,0.00113889,0.00113889
34,92.6041,2.11962,1.26006,0.96758,0.9822,0.375,0.43908,0.14288,2.08356,1.66694,1.10152,0.00112239,0.00112239,0.00112239
35,95.3594,2.12494,1.246,0.95844,0.9725,0.375,0.44582,0.2476,1.68117,1.46953,0.99196,0.00110589,0.00110589,0.00110589
36,97.9059,2.0407,1.23693,0.97797,0.98224,0.375,0.40011,0.17176,2.33415,1.7934,1.15864,0.00108938,0.00108938,0.00108938
37,100.23,2.02226,1.23026,0.98227,0.97371,0.375,0.42091,0.22232,1.69534,1.70504,1.01751,0.00107288,0.00107288,0.00107288
38,102.835,2.04641,1.19715,0.98238,1,0.3656,0.45761,0.2456,1.7964,1.48597,1.02929,0.00105638,0.00105638,0.00105638
39,105.263,2.01702,1.20434,0.98712,0.98416,0.375,0.47157,0.21195,2.04854,1.42841,1.07953,0.00103987,0.00103987,0.00103987
40,107.82,2.08052,1.19529,0.95984,0.98006,0.375,0.46426,0.18817,2.00259,1.54581,1.20614,0.00102337,0.00102337,0.00102337
41,110.51,2.04602,1.19845,0.97569,0.9901,0.375,0.39437,0.1648,2.08252,1.69015,1.23981,0.00100687,0.00100687,0.00100687
42,113.089,2.05686,1.17706,0.96359,1,0.36621,0.45948,0.18475,1.98549,1.73879,1.16686,0.000990365,0.000990365,0.000990365
43,115.998,2.10606,1.22078,0.98461,0.97763,0.5,0.51258,0.24899,1.77305,1.30815,0.99654,0.000973861,0.000973861,0.000973861
44,118.646,2.02528,1.15254,0.96031,0.9799,0.375,0.46066,0.19997,1.86371,1.61209,0.97941,0.000957358,0.000957358,0.000957358
45,121.167,1.96144,1.11617,0.94835,0.98098,0.375,0.45583,0.25492,1.84106,1.63075,0.97254,0.000940855,0.000940855,0.000940855
46,124.244,1.97566,1.14912,0.98435,0.88825,0.5,0.4725,0.22469,1.94855,1.679,0.9951,0.000924352,0.000924352,0.000924352
47,127.022,2.00268,1.16151,0.95917,0.88063,0.5,0.48855,0.24866,1.75531,1.52346,0.96831,0.000907848,0.000907848,0.000907848
48,129.625,2.00547,1.16456,0.97915,0.95545,0.375,0.4771,0.20954,1.7144,1.52892,0.9534,0.000891345,0.000891345,0.000891345
49,132.374,2.01524,1.14979,0.96973,0.89622,0.4811,0.49737,0.26953,1.64232,1.42472,0.94701,0.000874842,0.000874842,0.000874842
50,134.873,1.98225,1.09562,0.94824,0.87513,0.5,0.50567,0.24529,1.83612,1.34032,0.98861,0.000858338,0.000858338,0.000858338
51,137.245,1.9247,1.05976,0.9268,1,0.47054,0.52011,0.25693,1.77075,1.41206,1.02079,0.000841835,0.000841835,0.000841835
52,139.678,1.98759,1.098,0.95142,0.97253,0.375,0.4941,0.19802,1.89829,1.27519,1.0018,0.000825332,0.000825332,0.000825332
53,142.025,1.89979,1.09373,0.94357,0.95385,0.5,0.53067,0.28822,1.58386,1.0645,0.93585,0.000808828,0.000808828,0.000808828
54,144.327,1.98124,1.10735,0.96951,0.98275,0.5,0.58042,0.31953,1.52722,1.03098,0.93731,0.000792325,0.000792325,0.000792325
55,146.619,1.93419,1.06076,0.95534,0.89739,0.5,0.50804,0.27226,1.72688,1.14008,0.96105,0.000775822,0.000775822,0.000775822
56,148.986,1.9356,1.08054,0.9621,0.89806,0.49032,0.50804,0.20245,2.10686,1.41887,1.04954,0.000759318,0.000759318,0.000759318
57,151.281,1.8929,1.05976,0.96359,0.97211,0.5,0.53304,0.26726,1.81219,1.2103,0.99385,0.000742815,0.000742815,0.000742815
58,154.204,2.0144,1.10612,0.93075,1,0.37446,0.40375,0.16511,2.15199,1.51612,1.0529,0.000726312,0.000726312,0.000726312
59,156.917,2.09093,1.1109,0.95368,0.96731,0.25,0.3074,0.13541,2.10874,1.47648,1.11383,0.000709809,0.000709809,0.000709809
60,159.363,1.90621,1.05072,0.95213,0.99134,0.375,0.44393,0.20978,1.89437,1.68651,0.98461,0.000693305,0.000693305,0.000693305
61,161.758,1.83727,1.00459,0.9331,0.89746,0.48732,0.48356,0.19476,2.039,1.58123,1.01866,0.000676802,0.000676802,0.000676802
62,164.46,1.83916,1.05418,0.93726,1,0.36997,0.39424,0.13151,2.46198,1.64436,1.2104,0.000660299,0.000660299,0.000660299
63,166.929,1.91995,1.09672,0.96564,0.98717,0.375,0.43454,0.15616,2.28024,1.46454,1.14474,0.000643795,0.000643795,0.000643795
64,169.559,1.91331,1.06687,0.93774,0.99329,0.375,0.42926,0.16318,1.83448,1.46456,0.99839,0.000627292,0.000627292,0.000627292
65,172.45,1.85448,1.01129,0.93908,0.98627,0.375,0.41355,0.16796,1.76954,1.55153,1.0009,0.000610789,0.000610789,0.000610789
66,174.963,1.86596,1.00796,0.92464,0.98682,0.375,0.43022,0.18227,1.85318,1.55824,1.02507,0.000594286,0.000594286,0.000594286
67,177.368,1.91275,1.0372,0.93181,0.98722,0.375,0.435,0.1912,1.94214,1.52932,1.06691,0.000577782,0.000577782,0.000577782
68,180.04,1.84914,0.99932,0.93066,0.93453,0.375,0.44393,0.23593,1.64195,1.25732,1.00191,0.000561279,0.000561279,0.000561279
69,182.694,1.86857,1.01274,0.94543,0.97565,0.375,0.48347,0.23341,1.71837,1.39768,1.02368,0.000544776,0.000544776,0.000544776
70,185.279,1.80283,0.98012,0.93173,0.88735,0.5,0.4725,0.24297,1.69761,1.39211,0.99075,0.000528272,0.000528272,0.000528272
71,187.813,1.92737,1.0057,0.92674,0.9964,0.375,0.435,0.20393,1.74208,1.57613,1.00105,0.000511769,0.000511769,0.000511769
72,190.938,1.89173,1.02085,0.92251,0.97345,0.375,0.45583,0.23106,1.63306,1.26714,0.93706,0.000495266,0.000495266,0.000495266
73,193.486,1.76406,0.96811,0.93051,0.97472,0.5,0.4975,0.28516,1.64878,1.47879,0.96497,0.000478762,0.000478762,0.000478762
74,196.16,1.80279,0.96605,0.92546,0.9852,0.5,0.4975,0.26908,1.70271,1.5944,0.97123,0.000462259,0.000462259,0.000462259
75,198.917,1.97035,1.06843,0.91466,0.99096,0.5,0.4975,0.26001,1.70563,1.31197,0.9372,0.000445756,0.000445756,0.000445756
76,201.605,1.83399,0.98052,0.91987,1,0.48764,0.4975,0.23772,1.87049,1.23574,0.95773,0.000429253,0.000429253,0.000429253
77,204.017,1.86765,0.97503,0.9182,0.99822,0.5,0.4975,0.23762,1.84757,1.37499,0.96755,0.000412749,0.000412749,0.000412749
78,206.647,1.83001,1.06267,0.93933,0.99149,0.5,0.4975,0.25922,1.79821,1.4515,0.98313,0.000396246,0.000396246,0.000396246
79,209.031,1.89632,0.96056,0.92937,0.98818,0.5,0.4975,0.24378,1.75661,1.3396,0.9806,0.000379743,0.000379743,0.000379743
80,211.635,1.8273,0.98429,0.92229,0.97723,0.5,0.52238,0.22892,2.08066,1.35404,1.01728,0.000363239,0.000363239,0.000363239
81,213.963,1.82654,0.98227,0.91512,0.97297,0.5,0.52011,0.2227,2.04031,1.35801,0.99309,0.000346736,0.000346736,0.000346736
82,216.364,1.76709,0.9443,0.92264,0.97782,0.5,0.4975,0.26458,1.71347,1.09389,0.92227,0.000330233,0.000330233,0.000330233
83,218.797,1.801,0.95573,0.92209,0.98006,0.5,0.4975,0.27097,1.62983,1.16078,0.91044,0.000313729,0.000313729,0.000313729
84,221.348,1.90099,0.99509,0.91699,0.98173,0.5,0.52368,0.28386,1.65076,1.17575,0.91742,0.000297226,0.000297226,0.000297226
85,223.904,1.77176,0.92897,0.90879,0.98452,0.5,0.52676,0.28193,1.67421,1.233,0.91665,0.000280723,0.000280723,0.000280723
86,226.485,1.78273,0.92616,0.90237,0.98612,0.5,0.52676,0.23173,1.91353,1.34495,0.97967,0.00026422,0.00026422,0.00026422
87,228.963,1.67782,0.89261,0.90245,1,0.4874,0.52119,0.23918,1.89877,1.26963,0.96672,0.000247716,0.000247716,0.000247716
88,231.523,1.78,0.96592,0.92159,0.99265,0.5,0.52011,0.2908,1.73391,1.20854,0.92071,0.000231213,0.000231213,0.000231213
89,233.906,1.70732,0.90294,0.91395,0.99087,0.5,0.4975,0.27723,1.70105,1.23496,0.91221,0.00021471,0.00021471,0.00021471
90,236.41,1.90024,1.00867,0.91702,0.98071,0.5,0.4975,0.26181,1.78776,1.30681,0.93736,0.000198206,0.000198206,0.000198206
91,285.594,1.76918,1.0278,0.93625,0.98353,0.5,0.4975,0.27092,1.69033,1.28853,0.90986,0.000181703,0.000181703,0.000181703
92,288.201,1.74522,0.95184,0.9164,1,0.49373,0.4975,0.28629,1.50268,1.3037,0.89146,0.0001652,0.0001652,0.0001652
93,290.568,1.78912,0.98889,0.91307,0.98341,0.5,0.4975,0.26451,1.63374,1.30034,0.90946,0.000148696,0.000148696,0.000148696
94,293.117,1.74523,0.9811,0.92606,0.9799,0.5,0.4975,0.27071,1.7403,1.2604,0.93103,0.000132193,0.000132193,0.000132193
95,295.57,1.71726,0.93544,0.91184,0.98257,0.5,0.4975,0.26752,1.66663,1.31012,0.91354,0.00011569,0.00011569,0.00011569
96,298.277,1.68651,0.90864,0.90415,0.98765,0.5,0.4975,0.28609,1.57148,1.20595,0.89305,9.91865e-05,9.91865e-05,9.91865e-05
97,300.823,1.68459,0.92286,0.9183,0.98875,0.5,0.4975,0.28609,1.57314,1.1763,0.89423,8.26832e-05,8.26832e-05,8.26832e-05
98,303.463,1.72556,0.95483,0.9173,0.9942,0.5,0.4975,0.28609,1.60309,1.20728,0.90345,6.61799e-05,6.61799e-05,6.61799e-05
99,306.164,1.71951,0.91325,0.90574,0.98746,0.5,0.4975,0.262,1.60593,1.23124,0.90932,4.96766e-05,4.96766e-05,4.96766e-05
100,308.793,1.71491,0.90888,0.90902,0.98745,0.5,0.4975,0.26198,1.60629,1.2281,0.91318,3.31733e-05,3.31733e-05,3.31733e-05
